Deck Size	Hand Size	Trial	Attempts	Time (sec)
24	6	1	1681676	3.031699
24	6	2	1676376	2.761866
24	6	3	1562576	2.643381
24	6	4	1852610	3.076665
24	6	5	1627625	3.070227
24	7	1	4369490	8.735509
24	7	2	5058153	10.448431
24	7	3	4393360	9.282071
24	7	4	4498487	9.278765
24	7	5	4428568	9.503910
28	6	1	5031490	10.231935
28	6	2	4410599	8.530900
28	6	3	4504295	9.258286
28	6	4	4770789	9.089570
28	6	5	4850327	8.919461
28	7	1	16479095	33.638672
28	7	2	18479771	35.936256
28	7	3	17684486	35.565748
28	7	4	16663460	33.981108
28	7	5	16570311	33.497030
